timestamp_ns,event_type,symbol_id,price,quantity,side,sequence,flags
1704205800000000000,quote,0,100000000,100,0,,0
1704205801000000000,quote,0,100020000,50,1,,0
1704205802000000000,trade,0,100000000,10,1,,0
1704205803000000000,quote,0,100770000,50,1,,0
1704205804000000000,quote,0,100750000,100,0,,0
1704205805000000000,quote,0,101520000,50,1,,0
1704205806000000000,quote,0,101500000,100,0,,0
1704205807000000000,quote,0,102270000,50,1,,0
1704205808000000000,quote,0,102250000,100,0,,0
1704205809000000000,quote,0,103020000,50,1,,0
1704205810000000000,quote,0,103000000,100,0,,0
1704205811000000000,quote,0,103770000,50,1,,0
1704205812000000000,quote,0,103750000,100,0,,0
1704205813000000000,quote,0,104520000,50,1,,0
1704205814000000000,quote,0,104500000,100,0,,0
1704205815000000000,quote,0,105270000,50,1,,0
1704205816000000000,quote,0,105250000,100,0,,0
1704205817000000000,quote,0,106020000,50,1,,0
1704205818000000000,quote,0,106000000,100,0,,0
1704205819000000000,quote,0,106770000,50,1,,0
1704205820000000000,quote,0,106750000,100,0,,0
1704205821000000000,quote,0,107520000,50,1,,0
1704205822000000000,quote,0,107500000,100,0,,0
1704205823000000000,quote,0,108270000,50,1,,0
1704205824000000000,quote,0,108250000,100,0,,0
1704205825000000000,quote,0,109020000,50,1,,0
1704205826000000000,quote,0,109000000,100,0,,0
1704205827000000000,trade,0,109000000,10,1,,0
1704205828000000000,quote,0,112770000,50,1,,0
1704205829000000000,quote,0,112750000,100,0,,0
